Date,Time of day,yes_price,fore_gen,hour,month,day,weekday,week,norm_yp,norm_fg,norm_hh,norm_mm,norm_dd,norm_ww
"30-May, 2018",2:00 AM,34.99,0.0,2,5,30,3,22,0.5433984432368925,0.0,0.08695652173913043,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",3:00 AM,34.37,0.0,3,5,30,3,22,0.5403632447251188,0.0,0.13043478260869565,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",4:00 AM,33.06,0.0,4,5,30,3,22,0.5339501639986294,0.0,0.17391304347826086,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",5:00 AM,37.09,0.02,5,5,30,3,22,0.553678954325158,0.024691358024691357,0.21739130434782608,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",6:00 AM,42.46,0.1,6,5,30,3,22,0.5799676898222941,0.12345679012345678,0.2608695652173913,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",7:00 AM,52.69,0.25,7,5,30,3,22,0.630048465266559,0.30864197530864196,0.30434782608695654,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",8:00 AM,58.15,0.37,8,5,30,3,22,0.6567777940960494,0.4567901234567901,0.34782608695652173,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",9:00 AM,51.83,0.47,9,5,30,3,22,0.6258383512018408,0.5802469135802468,0.3913043478260869,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",10:00 AM,49.05,0.59,10,5,30,3,22,0.6122289127135655,0.728395061728395,0.43478260869565216,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",11:00 AM,45.72,0.63,11,5,30,3,22,0.5959269594164587,0.7777777777777778,0.4782608695652174,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",12:00 PM,38.95,0.64,12,5,30,3,22,0.5627845498604789,0.7901234567901234,0.5217391304347826,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",1:00 PM,37.54,0.63,13,5,30,3,22,0.5558819209869291,0.7777777777777778,0.5652173913043478,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",2:00 PM,38.14,0.57,14,5,30,3,22,0.5588192098692908,0.7037037037037036,0.6086956521739131,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",3:00 PM,40.49,0.46,15,5,30,3,22,0.5703235913252069,0.5679012345679012,0.6521739130434783,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",4:00 PM,41.3,0.33,16,5,30,3,22,0.574288931316395,0.4074074074074074,0.6956521739130435,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",5:00 PM,44.66,0.18,17,5,30,3,22,0.5907377490576199,0.2222222222222222,0.7391304347826086,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",6:00 PM,49.07,0.06,18,5,30,3,22,0.6123268223429775,0.07407407407407407,0.7826086956521738,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",7:00 PM,50.01,0.01,19,5,30,3,22,0.616928574925344,0.012345679012345678,0.8260869565217391,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",8:00 PM,50.35,0.0,20,5,30,3,22,0.6185930386253489,0.0,0.8695652173913043,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",9:00 PM,47.92,0.0,21,5,30,3,22,0.6066970186517845,0.0,0.9130434782608695,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",10:00 PM,44.65,0.0,22,5,30,3,22,0.5906887942429139,0.0,0.9565217391304348,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",11:00 PM,38.17,0.0,23,5,30,3,22,0.5589660743134088,0.0,1.0,0.36363636363636365,0.9666666666666667,0.33333333333333337
"31-May, 2018",12:00 AM,37.88,0.0,0,5,31,4,22,0.5575463846869341,0.0,0.0,0.36363636363636365,0.9999999999999999,0.5
"31-May, 2018",1:00 AM,36.22,0.0,1,5,31,4,22,0.5494198854457337,0.0,0.043478260869565216,0.36363636363636365,0.9999999999999999,0.5
"31-May, 2018",2:00 AM,35.0,0.0,2,5,31,4,22,0.5434473980515985,0.0,0.08695652173913043,0.36363636363636365,0.9999999999999999,0.5
"31-May, 2018",3:00 AM,33.4,0.0,3,5,31,4,22,0.5356146276986342,0.0,0.13043478260869565,0.36363636363636365,0.9999999999999999,0.5
"31-May, 2018",4:00 AM,33.97,0.0,4,5,31,4,22,0.5384050521368777,0.0,0.17391304347826086,0.36363636363636365,0.9999999999999999,0.5
"31-May, 2018",5:00 AM,37.81,0.04,5,5,31,4,22,0.5572037009839919,0.04938271604938271,0.21739130434782608,0.36363636363636365,0.9999999999999999,0.5
"31-May, 2018",6:00 AM,43.96,0.13,6,5,31,4,22,0.5873109120281981,0.16049382716049382,0.2608695652173913,0.36363636363636365,0.9999999999999999,0.5
"31-May, 2018",7:00 AM,53.0,0.24,7,5,31,4,22,0.6315660645224459,0.2962962962962963,0.30434782608695654,0.36363636363636365,0.9999999999999999,0.5
"31-May, 2018",8:00 AM,56.89,0.33,8,5,31,4,22,0.6506094874430901,0.4074074074074074,0.34782608695652173,0.36363636363636365,0.9999999999999999,0.5
